	MGI_ID	ENTREZ_ID
264	MGI:3718521	100124440
265	MGI:3629661	735266
266	MGI:3619422	723875
267	MGI:3619410	723869
268	MGI:3619411	723938
269	MGI:3629899	751539
270	MGI:3629629	735259
271	MGI:2676892	387212
272	MGI:2676854	387185
273	MGI:3718560	100124496
274	MGI:3619355	723845
275	MGI:3711324	100049715
276	MGI:3718457	100124481
277	MGI:3619336	723929
278	MGI:3619389	723859
279	MGI:3691610	791081
280	MGI:2140779	231452
281	MGI:3619391	723935
282	MGI:3619404	723937
283	MGI:3624341	723974
284	MGI:3619323	723833
285	MGI:3629617	735257
286	MGI:3619425	723877
287	MGI:3619431	723901
288	MGI:3629958	751546
289	MGI:2676834	387167
290	MGI:3619267	723830
291	MGI:3711328	100049713
292	MGI:3711325	100049711
293	MGI:2676869	387136
294	MGI:3619421	723916
295	MGI:2676877	387198
296	MGI:2676824	387157
297	MGI:3718540	100124447
298	MGI:3619366	723921
299	MGI:3718554	100124452
300	MGI:104752	18036
301	MGI:3619441	723947
302	MGI:3629949	751560
303	MGI:3619393	723860
304	MGI:2676848	387179
305	MGI:3629632	735287
306	MGI:3691613	791077
307	MGI:4950389	100628582
308	MGI:5452341	100885833
309	MGI:3639287	751561
310	MGI:3783365	100316672
311	MGI:4834306	100526525
312	MGI:3811410	100316832
314	MGI:4950453	100628597
315	MGI:3629903	751522
316	MGI:3618734	724064
317	MGI:2385655	266615
318	MGI:3629904	751552
319	MGI:3629901	751521
320	MGI:4441432	100499517
321	MGI:3718556	100124453
322	MGI:3619381	723856
323	MGI:3619378	723934
324	MGI:3619382	723857
325	MGI:3619424	723940
326	MGI:3705267	102635415
327	MGI:4441433	100499513
328	MGI:1918520	71270
329	MGI:1339967	544791
330	MGI:3783368	100316676
331	MGI:3783379	100316749
333	MGI:1913870	66620
334	MGI:2442760	233865
336	MGI:104539	103161
337	MGI:1928271	102635496
338	MGI:3619343	723897
339	MGI:1923751	76501
342	MGI:1919126	71876
343	MGI:1926128	78878
344	MGI:3642848	791403
345	MGI:1336196	22097
346	MGI:1913635	66385
347	MGI:1919787	108912
348	MGI:3041159	214704
349	MGI:1923818	76568
350	MGI:1915134	67884
351	MGI:1919090	71840
