	Mod_ID	Mod_name	Macro_ID
350	md:mmu_M00829	3,6-Dimethylsalicylyl-CoA biosynthesis, malonyl-CoA => 6-methylsalicylate => 3,6-dimethylsalicylyl-CoA	8
351	md:mmu_M00830	Neocarzinostatin naphthoate moiety biosynthesis, malonyl-CoA => 2-hydroxy-5-methyl-1-naphthoate => 2-hydroxy-7-methoxy-5-methyl-1-naphthoyl-CoA	8
352	md:mmu_M00831	Kedarcidin 2-hydroxynaphthoate moiety biosynthesis, malonyl-CoA => 3,6,8-trihydroxy-2-naphthoate => 3-hydroxy-7,8-dimethoxy-6-isopropoxy-2-naphthoyl-CoA	8
353	md:mmu_M00832	Kedarcidin 2-aza-3-chloro-beta-tyrosine moiety biosynthesis, azatyrosine => 2-aza-3-chloro-beta-tyrosyl-PCP	8
354	md:mmu_M00833	Calicheamicin biosynthesis, calicheamicinone => calicheamicin	8
355	md:mmu_M00834	Calicheamicin orsellinate moiety biosynthesis, malonyl-CoA => orsellinate-ACP => 5-iodo-2,3-dimethoxyorsellinate-ACP	8
356	md:mmu_M00835	Pyocyanine biosynthesis, chorismate => pyocyanine	9
357	md:mmu_M00836	Coenzyme F430 biosynthesis, sirohydrochlorin => coenzyme F430	7
358	md:mmu_M00837	Prodigiosin biosynthesis, L-proline => prodigiosin	9
359	md:mmu_M00838	Undecylprodigiosin biosynthesis, L-proline => undecylprodigiosin	9
360	md:mmu_M00840	Tetrahydrofolate biosynthesis, mediated by ribA and trpF, GTP => THF	7
361	md:mmu_M00841	Tetrahydrofolate biosynthesis, mediated by PTPS, GTP => THF	7
362	md:mmu_M00842	Tetrahydrobiopterin biosynthesis, GTP => BH4	7
363	md:mmu_M00843	L-threo-Tetrahydrobiopterin biosynthesis, GTP => L-threo-BH4	7
364	md:mmu_M00844	Arginine biosynthesis, ornithine => arginine	5
365	md:mmu_M00845	Arginine biosynthesis, glutamate => acetylcitrulline => arginine	5
366	md:mmu_M00846	Siroheme biosynthesis, glutamyl-tRNA => siroheme	7
367	md:mmu_M00847	Heme biosynthesis, archaea, siroheme => heme	7
368	md:mmu_M00848	Aurachin biosynthesis, anthranilate => aurachin A	9
369	md:mmu_M00849	C5 isoprenoid biosynthesis, mevalonate pathway, archaea	8
370	md:mmu_M00850	Vibrio cholerae pathogenicity signature, cholera toxins	X
371	md:mmu_M00851	Carbapenem resistance	X
372	md:mmu_M00852	Vibrio cholerae pathogenicity signature, toxin coregulated pilus	X
373	md:mmu_M00853	ETEC pathogenicity signature, colonization factors	X
374	md:mmu_M00854	Glycogen biosynthesis, glucose-1P => glycogen/starch	1
375	md:mmu_M00855	Glycogen degradation, glycogen => glucose-6P	1
376	md:mmu_M00856	Salmonella enterica pathogenicity signature, typhoid toxin	X
377	md:mmu_M00857	Salmonella enterica pathogenicity signature, Vi antigen	X
378	md:mmu_M00859	Bacillus anthracis pathogenicity signature, anthrax toxin	X
379	md:mmu_M00860	Bacillus anthracis pathogenicity signature, polyglutamic acid capsule biosynthesis	X
380	md:mmu_M00861	beta-Oxidation, peroxisome, VLCFA	3
381	md:mmu_M00862	beta-Oxidation, peroxisome, tri/dihydroxycholestanoyl-CoA => choloyl/chenodeoxycholoyl-CoA	3
382	md:mmu_M00866	KDO2-lipid A biosynthesis, Raetz pathway, non-LpxL-LpxM type	6
383	md:mmu_M00867	KDO2-lipid A modification pathway	6
384	md:mmu_M00868	Heme biosynthesis, animals and fungi, glycine => heme	7
385	md:mmu_M00872	O-glycan biosynthesis, mannose type (core M3)	6
386	md:mmu_M00873	Fatty acid biosynthesis in mitochondria, animals	3
387	md:mmu_M00874	Fatty acid biosynthesis in mitochondria, fungi	3
388	md:mmu_M00875	Staphyloferrin B biosynthesis, L-serine => staphyloferrin B	9
389	md:mmu_M00876	Staphyloferrin A biosynthesis, L-ornithine => staphyloferrin A	9
390	md:mmu_M00877	Kanosamine biosynthesis, glucose 6-phosphate => kanosamine	9
391	md:mmu_M00878	Phenylacetate degradation, phenylaxetate => acetyl-CoA/succinyl-CoA	10
392	md:mmu_M00879	Arginine succinyltransferase pathway, arginine => glutamate	5
393	md:mmu_M00880	Molybdenum cofactor biosynthesis, GTP => molybdenum cofactor	7
394	md:mmu_M00881	Lipoic acid biosynthesis, plants and bacteria, octanoyl-ACP => dihydrolipoyl-E2/H	7
395	md:mmu_M00882	Lipoic acid biosynthesis, eukaryotes, octanoyl-ACP => dihydrolipoyl-H	7
396	md:mmu_M00883	Lipoic acid biosynthesis, animals and bacteria, octanoyl-ACP => dihydrolipoyl-H => dihydrolipoyl-E2	7
397	md:mmu_M00884	Lipoic acid biosynthesis, octanoyl-CoA => dihydrolipoyl-E2	7
398	md:mmu_M00889	Puromycin biosynthesis, ATP => puromycin	9
399	md:mmu_M00890	Roseoflavin biosynthesis, FMN => roseoflavin	9
400	md:mmu_M00891	Ditryptophenaline biosynthesis, tryptophan + phenylalanine => ditryptophenaline	9
401	md:mmu_M00892	UDP-N-acetyl-D-glucosamine biosynthesis, eukaryotes, glucose => UDP-GlcNAc	1
402	md:mmu_M00893	Lovastatin biosynthesis, malonyl-CoA => lovastatin acid	9
403	md:mmu_M00894	Cannabidiol biosynthesis, malonyl-CoA => cannabidiol/dronabinol	9
404	md:mmu_M00895	Thiamine biosynthesis, prokaryotes, AIR (+ DXP/glycine) => TMP/TPP	7
405	md:mmu_M00896	Thiamine biosynthesis, archaea, AIR (+ NAD+) => TMP/TPP	7
406	md:mmu_M00897	Thiamine biosynthesis, plants, AIR (+ NAD+) => TMP/thiamine/TPP	7
407	md:mmu_M00898	Thiamine biosynthesis, pyridoxal-5P => TMP/thiamine/TPP	7
408	md:mmu_M00899	Thiamine salvage pathway, HMP/HET => TMP	7
409	md:mmu_M00900	Crocin biosynthesis, crocetin => crocin	9
410	md:mmu_M00901	Fumiquinazoline biosynthesis, tryptophan + alanine + anthranilate => fumiquinazoline	9
411	md:mmu_M00902	Podophyllotoxin biosynthesis, coniferyl alcohol => podophyllotoxin	9
412	md:mmu_M00903	Fosfomycin biosynthesis, phosphoenolpyruvate => fosfomycin	9
413	md:mmu_M00904	Dapdiamides biosynthesis, L-2,3-diaminopropanoate => dapdiamide A/B/C	9
414	md:mmu_M00905	Grixazone biosynthesis, aspartate 4-semialdehyde => grixazone B	9
415	md:mmu_M00906	Ethynylserine biosynthesis, lysine => ethynylserine	9
416	md:mmu_M00909	UDP-N-acetyl-D-glucosamine biosynthesis, prokaryotes, glucose => UDP-GlcNAc	1
417	md:mmu_M00910	Phenylalanine biosynthesis, chorismate => arogenate => phenylalanine	5
418	md:mmu_M00911	Riboflavin biosynthesis, fungi, GTP => riboflavin/FMN/FAD	7
419	md:mmu_M00912	NAD biosynthesis, tryptophan => quinolinate => NAD	7
420	md:mmu_M00913	Pantothenate biosynthesis, 2-oxoisovalerate/spermine => pantothenate	7
421	md:mmu_M00914	Coenzyme A biosynthesis, archaea, 2-oxoisovalerate => 4-phosphopantoate => CoA	7
422	md:mmu_M00915	Caffeine degradation, caffeine => xanthine	10
423	md:mmu_M00916	Pyridoxal-P biosynthesis, R5P + glyceraldehyde-3P + glutamine => pyridoxal-P	7
424	md:mmu_M00917	Phytosterol biosynthesis, squalene 2,3-epoxide => campesterol/sitosterol	3
425	md:mmu_M00918	Aerobactin biosynthesis, lysine => aerobactin	9
426	md:mmu_M00919	Ectoine degradation, ectoine => aspartate	5
427	md:mmu_M00921	Cyclooctatin biosynthesis, dimethylallyl-PP + isopentenyl-PP => cyclooctatin	9
428	md:mmu_M00922	CMP-Neu5Ac biosynthesis	6
429	md:mmu_M00923	UDP-L-FucNAm biosynthesis	6
430	md:mmu_M00924	Cobalamin biosynthesis, anaerobic, uroporphyrinogen III => sirohydrochlorin => cobyrinate a,c-diamide	7
431	md:mmu_M00925	Cobalamin biosynthesis, aerobic, uroporphyrinogen III => precorrin 2 => cobyrinate a,c-diamide	7
432	md:mmu_M00926	Heme biosynthesis, bacteria, glutamyl-tRNA => coproporphyrin III => heme	7
433	md:mmu_M00927	Gibberellin A12 biosynthesis, GAPP => GA12	8
434	md:mmu_M00928	Gibberellin A4/A1 biosynthesis, GA12 => GA4 / GA53 => GA1	8
435	md:mmu_M00929	Gibberellin A1 biosynthesis, GGPP => GA1	8
436	md:mmu_M00930	Menaquinone biosynthesis, futalosine pathway	7
437	md:mmu_M00931	Menaquinone biosynthesis, modified futalosine pathway	7
438	md:mmu_M00932	Phylloquinone biosynthesis, chorismate (+ phytyl-PP) => phylloquinol	7
439	md:mmu_M00933	Plastoquinone biosynthesis, homogentisate + solanesyl-PP => plastoquinol	7
440	md:mmu_M00934	Mycinamicin biosynthesis, malonyl-CoA + methylmalonyl-CoA => protomycinolide IV => mycinamicin II	8
441	md:mmu_M00935	Methanofuran biosynthesis	2
442	md:mmu_M00936	Melatonin biosynthesis, plants, tryptophan => serotonin => melatonin	5
443	md:mmu_M00937	Aflatoxin biosynthesis, malonyl-CoA => aflatoxin B1	9
444	md:mmu_M00938	Pyrimidine deoxyribonuleotide biosynthesis, UDP => dTTP	4
445	md:mmu_M00939	Pyrimidine degradation, uracil => 3-hydroxypropanoate	4
446	md:mmu_M00940	Flavanone biosynthesis, p-coumaroyl-CoA => liquiritigenin	9
447	md:mmu_M00941	Isoflavone biosynthesis, liquiritigenin => daidzein / naringenin => genistein	9
448	md:mmu_M00942	Pterocarpan biosynthesis, daidzein => medicarpin	9
449	md:mmu_M00943	Reticuline biosynthesis, dopamine + 4HPAA => (S)-reticuline	9
450	md:mmu_M00944	Morphine biosynthesis, (S)-reticuline => morphine	9
451	md:mmu_M00945	Sanguinarine biosynthesis, (S)-reticuline => sanguinarine	9
452	md:mmu_M00946	Noscapine biosynthesis, (S)-reticuline => noscapine	9
453	md:mmu_M00947	D-Arginine racemization, D-arginine => L-arginine	5
454	md:mmu_M00948	Hydroxyproline degradation, trans-4-hydroxy-L-proline => 2-oxoglutarate	5
455	md:mmu_M00949	Staphylopine biosynthesis, L-histidine => staphylopine	5
